EventId,EventTemplate,Occurrences
c10491e8,Failed password for invalid user nagios from <*> port <*> ssh<*>,1
aa4bc2c6,Invalid user www from <*>,1
0714ac53,Failed password for invalid user www from <*> port <*> ssh<*>,1
6ba62ae1,Invalid user abc from <*>,1
29801d96,Failed password for invalid user abc from <*> port <*> ssh<*>,1
5f2b6ea7,Invalid user ted from <*>,1
a93880e5,Failed password for invalid user ted from <*> port <*> ssh<*>,1
81f3c5c9,Invalid user vnc from <*>,1
48dfea75,Failed password for invalid user vnc from <*> port <*> ssh<*>,1
e2fe7931,Failed password for git from <*> port <*> ssh<*>,3
41d40d97,Invalid user ghost from <*>,1
826e189e,Failed password for invalid user ghost from <*> port <*> ssh<*>,1
b43270b4,Invalid user ubuntu from <*>,2
5cad0dc7,Failed password for invalid user ubuntu from <*> port <*> ssh<*>,2
dc03fffc,Invalid user deploy from <*>,2
63873ec3,Failed password for invalid user deploy from <*> port <*> ssh<*>,2
205f3a77,Invalid user oralce from <*>,1
0e9ac028,Failed password for invalid user oralce from <*> port <*> ssh<*>,1
fd0b83e9,Invalid user nagios1 from <*>,1
0d56ff3c,Failed password for invalid user nagios1 from <*> port <*> ssh<*>,1
fe27e378,Invalid user postgres1 from <*>,1
6a7c3300,Failed password for invalid user postgres1 from <*> port <*> ssh<*>,1
a752ed47,Invalid user test1 from <*>,1
c946de9d,Failed password for invalid user test1 from <*> port <*> ssh<*>,1
ee98a0fe,Invalid user test2 from <*>,1
1a9e497f,Failed password for invalid user test2 from <*> port <*> ssh<*>,1
5995ce49,Invalid user bssh from <*>,1
087f1b31,Failed password for invalid user bssh from <*> port <*> ssh<*>,1
9adcedc5,Failed password for mysql from <*> port <*> ssh<*>,2
ec8e2e01,Invalid user magnos from <*>,2
34ee4316,Failed password for invalid user magnos from <*> port <*> ssh<*>,2
d19a190c,Invalid user ingrid from <*>,1
88633599,Failed password for invalid user ingrid from <*> port <*> ssh<*>,1
8506b36d,Invalid user jay from <*>,1
e5322e0d,Failed password for invalid user jay from <*> port <*> ssh<*>,1
b6162d47,Invalid user cyrus from <*>,1
7dff3278,Failed password for invalid user cyrus from <*> port <*> ssh<*>,1
0af30132,Invalid user FILTER from <*>,1
b6489278,Failed password for invalid user FILTER from <*> port <*> ssh<*>,1
bfd464ee,Accepted password for fztu from <*> port <*> ssh<*>,1
cb82654d,pam_unix(sshd:session): session opened for user fztu by (uid=<*>),1
eba81a50,Received disconnect from <*> <*>: disconnected by user,1
cfe22f2e,pam_unix(sshd:session): session closed for user fztu,1
f26cdc04,Invalid user zhangyan from <*>,1
e8c2c1de,Failed password for invalid user zhangyan from <*> port <*> ssh<*>,1
90e7ca09,Invalid user dff from <*>,1
488b2c5c,Failed password for invalid user dff from <*> port <*> ssh<*>,1
8a78dcbf,Invalid user cheng from <*>,1
9b489302,Failed password for invalid user cheng from <*> port <*> ssh<*>,1
950d3008,Invalid user boot from <*>,1
01dc5e36,Failed password for invalid user boot from <*> port <*> ssh<*>,1
43ed54fb,Invalid user sandeep from <*>,1
52c0b8a4,Failed password for invalid user sandeep from <*> port <*> ssh<*>,1
f32f0642,fatal: Write failed: Connection reset by peer [preauth],1
